['AARM', 'AAR MAHAVEER ENGINEERING COLLEGE', 'BANDLAGUDA', 'HYD', 'COED', 'PVT', '2010', 'CSE', 'COMPUTER SCIENCE  AND  ENGINEERING', '21641', '22180', '66303', '66303', '31369', '33790', '21641', '22180', '35818', '35818', '44234', '44234', '73190', '73981', '53498', '63310', '48000', 'JNTUH'],
['AARM', 'AAR MAHAVEER ENGINEERING COLLEGE', 'BANDLAGUDA', 'HYD', 'COED', 'PVT', '2010', 'ECE', 'ELECTRONICS AND COMMUNICATION ENGINEERING', '42345', '42345', '75760', '80514', '58335', '58335', '42345', '56025', '48391', '61897', '79713', '90584', '91364', '91364', '71288', '79831', '48000', 'JNTUH'],
['AARM', 'AAR MAHAVEER ENGINEERING COLLEGE', 'BANDLAGUDA', 'HYD', 'COED', 'PVT', '2010', 'EEE', 'ELECTRICAL AND ELECTRONICS ENGINEERING', '49058', '72528', '88540', '88540', '83369', '83369', '49058', '72528', '61697', '72528', '86033', '86033', '91228', '91228', '90824', '90824', '48000', 'JNTUH'],
['AARM', 'AAR MAHAVEER ENGINEERING COLLEGE', 'BANDLAGUDA', 'HYD', 'COED', 'PVT', '2010', 'MEC', 'MECHANICAL ENGINEERING', '84121', '88630', '84121', '88630', '88772', '88772', '84121', '88630', '84121', '88630', '84121', '88630', '85361', '89448', '84121', '88630', '48000', 'JNTUH'],
['ACEG', 'A C E ENGINEERING COLLEGE', 'GHATKESAR', 'MDL', 'COED', 'PVT', '2007', 'CIV', 'CIVIL ENGINEERING', '50104', '79746', '88225', '88225', '88512', '88512', '50104', '79746', '53466', '81257', '79925', '80071', '90670', '90772', '74861', '80925', '82000', 'JNTUH'],
['ACEG', 'A C E ENGINEERING COLLEGE', 'GHATKESAR', 'MDL', 'COED', 'PVT', '2007', 'CSE', 'COMPUTER SCIENCE  AND  ENGINEERING', '26085', '26803', '74192', '74192', '42571', '42571', '84773', '84773', '40022', '43637', '80330', '83095', '89927', '90861', '87162', '90614', '82000', 'JNTUH'],
['ACEG', 'A C E ENGINEERING COLLEGE', 'GHATKESAR', 'MDL', 'COED', 'PVT', '2007', 'ECE', 'ELECTRONICS AND COMMUNICATION ENGINEERING', '40214', '46624', '85209', '85209', '69404', '76928', '53635', '53635', '52179', '52179', '86798', '89982', '90246', '90246', '66389', '75342', '82000', 'JNTUH'],
['ACEG', 'A C E ENGINEERING COLLEGE', 'GHATKESAR', 'MDL', 'COED', 'PVT', '2007', 'EEE', 'ELECTRICAL AND ELECTRONICS ENGINEERING', '50487', '54386', '84962', '84962', '83880', '86246', '50487', '54386', '68218', '80613', '63018', '85535', '87419', '87419', '79064', '79064', '82000', 'JNTUH'],
['ACEG', 'A C E ENGINEERING COLLEGE', 'GHATKESAR', 'MDL', 'COED', 'PVT', '2007', 'INF', 'INFORMATION TECHNOLOGY', '37388', '37477', '62349', '62349', '57262', '57262', '37388', '37477', '42384', '55374', '82821', '82821', '39363', '39363', '39828', '39828', '82000', 'JNTUH'],
['ACEG', 'A C E ENGINEERING COLLEGE', 'GHATKESAR', 'MDL', 'COED', 'PVT', '2007', 'MEC', 'MECHANICAL ENGINEERING', '82513', '82513', '85984', '85984', '84031', '84031', '82513', '82513', '82513', '82513', '82513', '82513', '88761', '88761', '89299', '89299', '82000', 'JNTUH'],
['AHTC', 'ABHINAV HI-TECH COLLEGE OF ENGINEERING', 'MOINABAD', 'RR', 'COED', 'PVT', '2002', 'CIV', 'CIVIL ENGINEERING', '74665', '74665', '74665', '74665', '86642', '86642', '74665', '74665', '74665', '74665', '74665', '74665', '80452', '80452', '74665', '74665', '47000', 'JNTUH'],
